product_url,product_name,price,image,product_description,unique_id,ingredients,details,currency,product_id
https://www.cleverleben.at/produkt/haselnusscreme-400g-27891,"Haselnusscreme, 400g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-891-0387548838-yyEXVH6l.png'],,27891,,Zum Inhalt,€,27891
https://www.cleverleben.at/produkt/gruene-oliven-ohne-kern-340g-275925,"Grüne Oliven ohne Kern, 340g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-5925-0569666487-aEIaP7Ns.png'],"Grüne Oliven ohne Kern, 340g",275925,,Zum Inhalt,€,275925
https://www.cleverleben.at/produkt/pesto-alla-genovese-190g-278400,"Pesto alla Genovese, 190g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-8400-1996203941-pv3p0JXX.png'],"Pesto alla Genovese, 190g",278400,,Zum Inhalt,€,278400
https://www.cleverleben.at/produkt/kondensmilch-75-fett-500g-27833,"Kondensmilch 7,5% Fett, 500g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-833-2024678814-THSWah2R.png'],"Kondensmilch 7,5% Fett, 500g",27833,,Zum Inhalt,€,27833
https://www.cleverleben.at/produkt/sardinen-ohne-haut-und-graeten-in-sonnenblumenoel-125g-278720,"Sardinen ohne Haut  Gräten, in Sonnenblumenöl, 125g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-8720-01944158498-L0LcbThN.png'],"Sardinen ohne Haut  Gräten, in Sonnenblumenöl, 125g",278720,,Zum Inhalt,€,278720
https://www.cleverleben.at/produkt/sauerkraut-500g-27899,"Sauerkraut, 500g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-899-031373888-AmUbvyX6.png'],,27899,,Zum Inhalt,€,27899
https://www.cleverleben.at/produkt/marillen-joghurt-180g-278164,"Marillen Joghurt, 180g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-8164-377940791-TgyBijMa.png'],"Marillen Joghurt, 180g",278164,,Zum Inhalt,€,278164
https://www.cleverleben.at/produkt/fruechtemuesli-1kg-27829,"Früchte-Müsli, 1kg",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-829-0963854020-v4jdaRf0.png'],,27829,,Zum Inhalt,€,27829
https://www.cleverleben.at/produkt/langkornreis-1kg-274489,"Langkornreis, 1kg",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-4489-881845467-6TIuilks.png'],,274489,,Zum Inhalt,€,274489
https://www.cleverleben.at/produkt/tomaten-getrocknet-280g-277616,"Tomaten getrocknet, 280g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-7616-776265763-LWcySvH_.png'],"Tomaten getrocknet, 280g",277616,,Zum Inhalt,€,277616
